right_hip_roll,right_hip_pitch,right_knee,left_hip_roll,left_hip_pitch,left_knee,torso,left_hip_yaw,right_hip_yaw,left_ankle,right_ankle,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow
0.213323,-0.210946,0.523391,-0.203714,-0.183033,0.581176,0.004335,-0.003500,0.097065,-0.845087,-0.831847,0.070412,0.001175,0.867459,1.015789,0.068457,0.089852,-0.884287,1.101153
0.213097,-0.214982,0.526678,-0.203402,-0.186522,0.584492,0.004330,-0.003472,0.096889,-0.843872,-0.831268,0.073908,0.001174,0.855455,1.002032,0.070002,0.089136,-0.871239,1.084656
0.212846,-0.217904,0.529404,-0.203114,-0.189162,0.586631,0.004326,-0.003468,0.096786,-0.842098,-0.830709,0.077259,0.001172,0.844158,0.988473,0.071949,0.088519,-0.861519,1.067850
0.212548,-0.221493,0.532396,-0.202874,-0.192781,0.589772,0.004297,-0.003513,0.096587,-0.840228,-0.830200,0.080712,0.001171,0.831376,0.972268,0.073882,0.087992,-0.849685,1.051134
0.212322,-0.224764,0.536386,-0.202610,-0.195866,0.592862,0.004293,-0.003485,0.096413,-0.837821,-0.829799,0.084375,0.001180,0.819499,0.957628,0.076176,0.087416,-0.837306,1.037291
0.211904,-0.227189,0.540324,-0.202441,-0.198514,0.596215,0.004288,-0.003481,0.096238,-0.835713,-0.829418,0.087972,0.001178,0.807902,0.941742,0.078436,0.085546,-0.825122,1.019731
0.211654,-0.231572,0.543716,-0.202225,-0.202258,0.599697,0.004307,-0.003478,0.096016,-0.833972,-0.829008,0.091032,0.001187,0.794825,0.925971,0.080202,0.082972,-0.813699,1.002177
0.211380,-0.234226,0.546967,-0.201985,-0.205062,0.603083,0.004279,-0.003498,0.095770,-0.833419,-0.828549,0.094821,0.001176,0.784011,0.914196,0.082435,0.080649,-0.801733,0.986046
0.211082,-0.238307,0.550765,-0.201769,-0.208721,0.605433,0.004298,-0.003470,0.095452,-0.833052,-0.828168,0.098466,0.001175,0.771719,0.898230,0.084958,0.078586,-0.791204,0.969749
0.210832,-0.241282,0.554064,-0.201530,-0.211657,0.609046,0.004294,-0.003443,0.094992,-0.832686,-0.827728,0.102231,0.001164,0.759904,0.883144,0.087691,0.076448,-0.778633,0.952778
0.210606,-0.245515,0.557386,-0.201266,-0.215182,0.612875,0.004265,-0.003486,0.094533,-0.832320,-0.827289,0.106135,0.001162,0.747407,0.868455,0.090038,0.074549,-0.767019,0.938861
0.210309,-0.247573,0.561089,-0.201050,-0.218297,0.616667,0.004261,-0.003435,0.094146,-0.831944,-0.826792,0.109290,0.001171,0.734343,0.853542,0.092419,0.072508,-0.755682,0.922124
0.209988,-0.252077,0.565380,-0.200834,-0.222285,0.620036,0.004256,-0.003455,0.093712,-0.831519,-0.826207,0.113452,0.001170,0.722488,0.837927,0.094689,0.070559,-0.742931,0.905872
0.209738,-0.255075,0.569425,-0.200618,-0.225291,0.623191,0.004251,-0.003404,0.093326,-0.831055,-0.825564,0.117489,0.001178,0.712542,0.825212,0.097705,0.068536,-0.732147,0.889569
0.209418,-0.259253,0.572528,-0.200402,-0.228671,0.627126,0.004247,-0.003377,0.092751,-0.830621,-0.824688,0.121723,0.001177,0.699637,0.809825,0.100141,0.066526,-0.720485,0.873607
0.209192,-0.262096,0.576040,-0.200186,-0.231547,0.630712,0.004219,-0.003397,0.091988,-0.830158,-0.823406,0.125977,0.001176,0.687796,0.794723,0.102329,0.064920,-0.709520,0.860793
0.208966,-0.265454,0.579959,-0.199970,-0.233990,0.634322,0.004238,-0.003369,0.091273,-0.829598,-0.821766,0.129320,0.001165,0.676008,0.779791,0.105106,0.063103,-0.697456,0.844192
0.208764,-0.268190,0.583931,-0.199754,-0.237896,0.637939,0.004233,-0.003389,0.090772,-0.828932,-0.820023,0.133742,0.001154,0.664579,0.765674,0.107673,0.061309,-0.684548,0.828661
0.208515,-0.272079,0.587835,-0.199538,-0.240660,0.641800,0.004229,-0.003386,0.090225,-0.828237,-0.818243,0.137981,0.001172,0.654125,0.753096,0.110226,0.059529,-0.674939,0.812434
0.208336,-0.274992,0.591556,-0.199322,-0.244598,0.645152,0.004224,-0.003406,0.089538,-0.827689,-0.816990,0.142212,0.001161,0.641512,0.737693,0.112475,0.057936,-0.663617,0.796743
0.208087,-0.278771,0.595843,-0.199106,-0.247138,0.649131,0.004196,-0.003378,0.088804,-0.827256,-0.815776,0.145979,0.001150,0.630376,0.723773,0.114970,0.056684,-0.651983,0.784490
0.207861,-0.281319,0.599696,-0.198867,-0.250002,0.653309,0.004144,-0.003398,0.088049,-0.826708,-0.814671,0.149913,0.001139,0.619124,0.709045,0.117886,0.055378,-0.640233,0.768525
0.207659,-0.283932,0.603438,-0.198651,-0.252626,0.657125,0.004069,-0.003348,0.087059,-0.826132,-0.813443,0.153077,0.001157,0.606669,0.694236,0.119870,0.054189,-0.628396,0.753262
0.207457,-0.287409,0.607496,-0.198458,-0.255573,0.660860,0.004018,-0.003320,0.086001,-0.825604,-0.811282,0.156572,0.001146,0.596382,0.682018,0.122091,0.052994,-0.617279,0.738280
0.207231,-0.289894,0.610872,-0.198219,-0.259219,0.664090,0.003990,-0.003293,0.085063,-0.825067,-0.808730,0.160157,0.001155,0.585227,0.667100,0.124779,0.052138,-0.608130,0.723329
0.207006,-0.293756,0.614783,-0.198027,-0.261779,0.668222,0.003892,-0.003266,0.084150,-0.824482,-0.805366,0.163263,0.001134,0.574677,0.653241,0.127588,0.051475,-0.596528,0.711241
0.206803,-0.296112,0.619082,-0.197787,-0.265457,0.672301,0.003864,-0.003216,0.083426,-0.824013,-0.802604,0.166123,0.001152,0.563623,0.639715,0.129939,0.050565,-0.585588,0.696293
0.206554,-0.299914,0.623241,-0.197595,-0.267725,0.676373,0.003860,-0.003283,0.082563,-0.823496,-0.799905,0.169092,0.001160,0.552729,0.626744,0.132075,0.050097,-0.575696,0.681459
0.206352,-0.301932,0.627041,-0.197355,-0.269919,0.680421,0.003902,-0.003256,0.081608,-0.822922,-0.797029,0.171729,0.001159,0.541996,0.613385,0.134581,0.049784,-0.565685,0.667847
0.206126,-0.304273,0.630965,-0.197163,-0.272458,0.684272,0.003851,-0.003299,0.080421,-0.822129,-0.794322,0.173510,0.001129,0.532226,0.599611,0.136766,0.049375,-0.554506,0.654041
0.205923,-0.307635,0.635114,-0.196924,-0.274549,0.688217,0.003754,-0.003225,0.078771,-0.821021,-0.791275,0.175689,0.001137,0.520846,0.586942,0.139157,0.049111,-0.543019,0.640484
0.205744,-0.309523,0.639284,-0.196661,-0.277289,0.692009,0.003796,-0.003222,0.077311,-0.819390,-0.788168,0.177883,0.001146,0.511752,0.576093,0.141524,0.048962,-0.534784,0.626873
0.205518,-0.312617,0.642690,-0.196399,-0.280022,0.694965,0.003792,-0.003218,0.076062,-0.817437,-0.784676,0.179939,0.001135,0.500775,0.562125,0.144231,0.048898,-0.524746,0.613566
0.205200,-0.315379,0.647644,-0.196113,-0.282518,0.698946,0.003858,-0.003215,0.075258,-0.815678,-0.781790,0.181657,0.001143,0.490730,0.549260,0.146970,0.048845,-0.514289,0.602681
0.204927,-0.317231,0.651818,-0.195781,-0.284684,0.703064,0.003830,-0.003234,0.074711,-0.813332,-0.778588,0.183201,0.001132,0.481063,0.537246,0.149189,0.048781,-0.503634,0.588877
0.204563,-0.320516,0.655840,-0.195427,-0.287194,0.706985,0.003780,-0.003231,0.074328,-0.810734,-0.775115,0.184486,0.001131,0.469713,0.524682,0.151120,0.048690,-0.493220,0.575760
0.204221,-0.322312,0.660055,-0.195049,-0.289305,0.710710,0.003868,-0.003204,0.074014,-0.807923,-0.771460,0.186072,0.001139,0.458991,0.512500,0.153673,0.048617,-0.483734,0.563412
